sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2023226,Medios informáticos I,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2023227,Medios informáticos II,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017205,Modelos,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017206,Morfología estructural,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017207,Origenes del urbanismo,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2023229,Patologia de la edificacion,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017208,Planeación ordenamiento territorial,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2016082,Problemas contemporáneos de las artes,3,O,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017211,Procesos urbanos,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2023230,Protocolo de trabajo de grado,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017212,Proyecto I,5,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017213,Proyecto II,5,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017214,Proyecto III,5,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017215,Proyecto urbano,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017216,Proyecto vertical de actividad,6,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017217,Proyecto vertical de forma,6,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017218,Proyecto vertical de lugar,6,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017219,Proyecto vertical de técnica,6,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2024687,Proyecto vertical lugar urbano,6,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017220,Representacion I,3,B,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017221,Representacion II,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017222,Representacion III,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017223,Representacion IV,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017224,Residencia de obra,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2016085,Responsabilidad socio-ambiental de las artes,3,O,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017228,Seminario de investigación y proyecto arquitectónico I,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017229,Seminario de investigación y proyecto arquitectónico II,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017230,Seminario de investigación y proyecto de vivienda I,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017231,Seminario de investigación y proyecto de vivienda II,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017232,Seminario de investigación y proyecto patrimonial I,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017233,Seminario de investigación y proyecto patrimonial II,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017226,Seminario de investigación y proyecto tecnológico I,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017234,Seminario de investigación y proyecto tecnológico II,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017227,Seminario de investigación y proyecto urbano I,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017235,Seminario de investigación y proyecto urbano II,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
