sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016987,Taller de producción y realización III,5,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016988,Taller de producción y realización IV,5,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016989,Taller de producción y Realización V,5,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2024685,Taller De Video Arte,2,T,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2017006,Tecnología de la televisión,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016991,Tecnología del audiovisual,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016992,Teoría e historia medios audiovisuales I,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016993,Teoría e Historia medios audiovisuales II,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2023265,Teoría e historia medios audiovisuales III,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016994,Teoría e historia medios audiovisuales IV,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016995,Teoría e Historia medios audiovisuales V,3,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016996,Teoría y práctica del montaje I,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2016997,Teoría y práctica del montaje II,2,C,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2017004,Trabajo de Grado,6,P,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2017005,Trabajo de Grado - Asignaturas de Posgrado,6,P,2508,CINE Y TELEVISIÓN,2049,FACULTAD DE ARTES,1
2018189,Acompañamiento I,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018190,Acompañamiento II,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018191,Acompañamiento III,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026963,Acompañamiento III,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2026964,Acompañamiento IV,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018192,Acompañamiento IV,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018193,Acompañamiento V,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026965,Acompañamiento V,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018194,Acompañamiento VI,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026966,Acompañamiento VI,3,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021214,Arpa I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021215,Arpa II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021216,Arpa III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021217,Arpa IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021218,Arpa V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021219,Arpa VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021220,Arpa VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021221,Arpa VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018154,Arte escénico I,1,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
