sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2018158,Coro universitario III,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018159,Coro universitario IV,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018160,Coro Universitario V,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018161,Coro Universitario VI,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2026953,Dicción de lengua extranjera,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021431,Ensamble de Cobres I,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021432,Ensamble de Cobres II,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021433,Ensamble de Cobres III,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018078,Ensamble de Jazz I,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018079,Ensamble de Jazz II,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018080,Ensamble de Jazz III,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018081,Ensamble de Jazz IV,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2026836,Ensamble de jazz V,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021438,Ensamble de Música Colombiana I,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021439,Ensamble de Música Colombiana II,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021440,Ensamble de Música Colombiana III,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021441,Ensamble de Música Contemporánea I,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021442,Ensamble de Música Contemporánea II,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021443,Ensamble de Música Contemporánea III,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021444,Ensamble música antigua I,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021445,Ensamble música antigua II,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021446,Ensamble música antigua III,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021447,Ensamble música antigua IV,3,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021448,Ensamble Vocal de Cámara I,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021449,Ensamble Vocal de Cámara II,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021450,Ensamble Vocal de Cámara III,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021251,Eufonio I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021252,Eufonio II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021253,Eufonio III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021254,Eufonio IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021255,Eufonio V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021256,Eufonio VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021257,Eufonio VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021258,Eufonio VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021259,Fagot I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021260,Fagot II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021261,Fagot III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021262,Fagot IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021263,Fagot V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021264,Fagot VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021265,Fagot VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021266,Fagot VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021267,Flauta I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
