sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
1000024-B,Principios de química,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2027877,Probabilidad fundamental,4,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2015734,Programación de computadores,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016375,Programación orientada a objetos,3,B,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016609,Seguridad industrial,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016610,Sistemas de costos,4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025982,Sistemas de información,3,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016053,Sistemas de Información Gerencial,4,T,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2015811,Sociología especial: Industrial y del trabajo,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025993,Taller de ciencia y tecnología de materiales,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016612,Taller de diseño de plantas,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016613,Taller de ergonomía e ingeniería de métodos,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2026488,Taller de herramientas y problemas en ingeniería industrial,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016614,Taller de ingeniería de la producción,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016615,Taller de invención y creatividad,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016616,Taller de metodología de la investigación,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016618,Taller de Procesos Metalmecánicos,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016619,Taller de Procesos Químicos y Biotecnológicos,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025988,Taller de simulación procesos de manufactura y sistemas de servicios,3,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2016128,Teoría Contemporánea de la Organización,4,C,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,0
2015321,Trabajo de Grado - Asignaturas de Posgrado,6,P,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025989,Trabajo de grado - Modalidad practica de extension,6,P,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,1
2025990,Trabajo de grado - Modalidad trabajos investigativos,6,P,2546,INGENIERÍA INDUSTRIAL,2055,FACULTAD DE INGENIERÍA,0
